Time Elapsed (sec),Replicate 1 Percent Group Activity,Replicate 2 Percent Group Activity,Replicate 3 Percent Group Activity,Replicate 4 Percent Group Activity,Replicate 5 Percent Group Activity,Replicate 6 Percent Group Activity,Replicate 7 Percent Group Activity,Replicate 8 Percent Group Activity,Replicate 9 Percent Group Activity
"(740, 750]",0.651261782,0.566889632,0.555462653,0.686394143,0.672240803,0.57580825,0.567114094,0.652837096,0.602994321
"(750, 760]",0.558877364,0.61409396,0.655760626,0.632715111,0.65897651,0.483501119,0.572185061,0.582547887,0.619758168
"(760, 770]",0.453020134,0.581543624,0.553970917,0.64643075,0.644714765,0.573825503,0.598434004,0.618669921,0.660299432
"(770, 780]",0.507753116,0.463545151,0.493311037,0.656802929,0.668060201,0.627090301,0.590044743,0.676937157,0.667785235
"(780, 790]",0.511897498,0.373825503,0.561521253,0.688355123,0.627936242,0.593959732,0.615942029,0.705381575,0.604322099
"(790, 800]",0.520439292,0.445973154,0.559563758,0.641549725,0.604865772,0.531599553,0.598434004,0.574435631,0.611254517
"(800, 810]",0.518394649,0.472240803,0.467670011,0.712678626,0.636287625,0.58361204,0.591722595,0.561012813,0.644295302
"(810, 820]",0.529896278,0.469127517,0.553131991,0.665954851,0.618708054,0.410514541,0.549331104,0.532684707,0.650115771
"(820, 830]",0.54057352,0.391275168,0.462095875,0.67419158,0.695050336,0.483780761,0.564317673,0.55552166,0.543107899
"(830, 840]",0.437519003,0.479264214,0.482941834,0.640620249,0.489966555,0.586677815,0.607302118,0.602006689,0.551839465
"(840, 850]",0.455155583,0.484228188,0.440436242,0.549115314,0.513422819,0.547818792,0.468959732,0.612263575,0.613577697
"(850, 860]",0.484341745,0.530100334,0.351727982,0.614399024,0.649247492,0.617056856,0.606543624,0.601586333,0.570469799
"(860, 870]",0.515863331,0.493624161,0.429530201,0.671024628,0.64261745,0.571868009,0.54793757,0.652173913,0.574993568
"(870, 880]",0.588468578,0.395973154,0.464765101,0.693105552,0.559144295,0.532438479,0.579138702,0.576266016,0.560144553
"(880, 890]",0.516570386,0.49632107,0.539297659,0.706528371,0.654682274,0.519788183,0.579697987,0.502745577,0.499483738
"(890, 900]",0.507626602,0.418456376,0.369966443,0.678321678,0.641778523,0.399049217,0.568283166,0.607479477,0.594545922
"(900, 910]",0.399328859,0.467114094,0.395693512,0.663819402,0.581795302,0.409675615,0.606823266,0.593044539,0.560660816
"(910, 920]",0.395256917,0.483946488,0.460702341,0.641549725,0.606605351,0.516164994,0.627237136,0.581757169,0.51368095
"(920, 930]",0.353264185,0.434563758,0.434004474,0.714198845,0.65897651,0.467002237,0.546822742,0.630586804,0.53588886
"(930, 940]",0.444783405,0.415436242,0.350111857,0.627821843,0.66988255,0.499161074,0.542505593,0.603416718,0.601961797
