Time Elapsed (sec),Replicate 1 Percent Group Activity,Replicate 2 Percent Group Activity,Replicate 3 Percent Group Activity,Replicate 4 Percent Group Activity,Replicate 5 Percent Group Activity,Replicate 6 Percent Group Activity,Replicate 7 Percent Group Activity,Replicate 8 Percent Group Activity
"(720, 730]",0.730536913,0.663209274,0.739687848,0.70659775,0.728467562,0.74521131,0.677257525,0.635451505
"(730, 740]",0.694630872,0.66442953,0.711409396,0.677852349,0.741331096,0.692800488,0.676845638,0.710494204
"(740, 750]",0.750167224,0.628762542,0.6549217,0.577791336,0.688405797,0.743136059,0.796979866,0.652532032
"(750, 760]",0.664765101,0.687004271,0.688684504,0.615688659,0.707214765,0.615688659,0.70367893,0.716327151
"(760, 770]",0.745637584,0.647040879,0.688478747,0.626296522,0.720637584,0.694935937,0.64295302,0.677242221
"(770, 780]",0.714381271,0.583460018,0.626957494,0.640329469,0.709308807,0.665039658,0.650671141,0.712629652
"(780, 790]",0.72147651,0.6561928,0.678929766,0.595925813,0.737416107,0.71298267,0.649498328,0.697476437
"(790, 800]",0.716778523,0.558267236,0.588926174,0.632702868,0.649049217,0.678157413,0.663422819,0.704392923
"(800, 810]",0.659531773,0.553663728,0.505574136,0.579507449,0.630434783,0.720866382,0.701677852,0.629042099
"(810, 820]",0.765436242,0.426174497,0.535234899,0.590604027,0.671979866,0.65673457,0.57826087,0.678929766
"(820, 830]",0.774161074,0.490726665,0.572147651,0.514032947,0.717002237,0.716290421,0.64966443,0.659548505
"(830, 840]",0.728762542,0.493898719,0.563823857,0.491030708,0.683667781,0.700820918,0.676588629,0.705989663
"(840, 850]",0.653691275,0.493898719,0.604865772,0.485661989,0.652964206,0.716900549,0.59966443,0.587248322
"(850, 860]",0.603010033,0.421708726,0.492729306,0.539658328,0.654960981,0.739170226,0.643624161,0.631787675
"(860, 870]",0.600671141,0.396278218,0.447045708,0.597446032,0.704418345,0.684402554,0.5909699,0.656126482
"(870, 880]",0.665771812,0.453935326,0.553970917,0.568639414,0.741331096,0.702257474,0.553020134,0.640329469
"(880, 890]",0.621070234,0.442079659,0.474552573,0.468578401,0.731605351,0.70347773,0.673154362,0.649481391
